INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-cell-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-clustering-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-langid-4.3.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr/dist/solr-velocity-4.3.0.jar' to classloader
WARN  - 2014-10-27 00:25:19.160; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: /non/existent/dir/yields/warning (resolved as: C:\solr\example\solr\collection1\non\existent\dir\yields\warning).
INFO  - 2014-10-27 00:25:19.815; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2014-10-27 00:25:20.143; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-10-27 00:25:20.205; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-10-27 00:25:20.330; org.apache.solr.schema.IndexSchema; Schema name=example
INFO  - 2014-10-27 00:25:21.250; org.apache.solr.schema.IndexSchema; default search field in schema is searchtext
INFO  - 2014-10-27 00:25:21.250; org.apache.solr.schema.IndexSchema; query parser default operator is OR
WARN  - 2014-10-27 00:25:21.250; org.apache.solr.schema.IndexSchema; no uniqueKey specified in schema.
INFO  - 2014-10-27 00:25:21.671; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-10-27 00:25:21.687; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-10-27 00:25:21.999; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-10-27 00:25:22.015; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at solr\collection1\, dataDir=C:\solr\example\solr\collection1\data\
INFO  - 2014-10-27 00:25:22.030; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@3e4d82ca
INFO  - 2014-10-27 00:25:22.124; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-10-27 00:25:22.124; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-10-27 00:25:22.139; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-10-27 00:25:22.155; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\solr\example\solr\collection1\data
INFO  - 2014-10-27 00:25:22.155; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\solr\example\solr\collection1\data\index/
INFO  - 2014-10-27 00:25:22.155; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\solr\example\solr\collection1\data\index
INFO  - 2014-10-27 00:25:22.171; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-10-27 00:25:22.171; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-10-27 00:25:22.186; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-10-27 00:25:22.186; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-10-27 00:25:22.186; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-10-27 00:25:22.592; org.apache.solr.core.RequestHandlers; created /dataimport: org.apache.solr.handler.dataimport.DataImportHandler
INFO  - 2014-10-27 00:25:22.592; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.592; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.607; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-10-27 00:25:22.607; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.607; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-10-27 00:25:22.623; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-10-27 00:25:22.639; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-10-27 00:25:22.639; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-10-27 00:25:22.639; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-10-27 00:25:22.639; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-10-27 00:25:22.654; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-10-27 00:25:22.654; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.670; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-10-27 00:25:22.717; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
